track_id,track_name,artist_name,album_name
1,･－･･ ･ － ･･ － －－･ －－－,･－･ ･－ ･･･ ･ －･･,･－･･ ･ － ･･ － －－･ －－－
2,memories,.anxious.,3am EP
3,one of those days,.anxious.,3am EP
4,one.for.sukhee,.anxious.,3am EP
5,seoul train,.anxious.,3am EP
6,sleepless nights,.anxious.,3am EP
7,Boketto,.anxious.,Boketto
8,Time Stands Still,.anxious.,Inhale/Exhale/Disappear
9,We Fell Into it Like a Daydream or a Fever,.anxious.,Inhale/Exhale/Disappear
10,Smoke Break,.anxious.,Sunday Morning EP
11,apnea,.clouds,apnea
12,autumn rain,.clouds,autumn rain
13,beautiful morning,.clouds,beautiful morning
14,cozy mornings,.clouds,cozy mornings
15,fall foliage,.clouds,fall foliage
16,in a rainy mood,.clouds,in a rainy mood
17,rainy season,.clouds,rainy season
18,serenity,.clouds,serenity
19,sweet evening,.clouds,sweet evening
20,blurred drmzz,.clouds,twilight walks
21,bsd.me,.clouds,twilight walks
22,exhale,.clouds,twilight walks
23,inhale,.clouds,twilight walks
24,lilac days,.clouds,twilight walks
25,warm nights,.clouds,twilight walks
26,unconscious,.diedlonely,among the stars
27,analogue winter,.diedlonely,analogue winter
28,fading,.diedlonely,fading
29,numb,.diedlonely,numb
30,reflection,.diedlonely,reflection
31,stellar,.diedlonely,stellar
32,stellar (Slowed + Reverb),.diedlonely,stellar (Remixes)
33,we were something i'll never forget,.nthngfeelsreal?,we were something i'll never forget
34,Blankets,.Sinh,Blankets
35,Couchsurfing,.Sinh,Couchsurfing
36,Emotion,.Sinh,Emotion
37,Highrise,.Sinh,Highrise
38,Atlas,.Sinh,Notes
39,Tradition,.Sinh,Tradition
40,French Inhale,[bsd.u],444
41,Her Smile,[bsd.u],444
42,Laced,[bsd.u],444
43,When We're Alone,[bsd.u],444
44,Bebop,[bsd.u],A Sad Kind of Bliss
45,Shootouts,[bsd.u],A Sad Kind of Bliss
46,Wind,[bsd.u],A Sad Kind of Bliss
